# id	length	introns	RNAseq	isoforms
14640	1105	3	1555610	455213	
9733	823	1	17627100	33391	
11214	608	1	413007	4841	
1106	551	1	43834400	153	
37714	686	1	4742840	17773	
38621	774	1	2873300	50738	
14519	859	2	680667	10423	
13188	796	2	828555	59923	
12774	752	2	506198	50904	
36960	690	1	6760920	4539	
8885	598	1	5319370	524	
45508	557	1	994753	507	
91	857	2	744722	331002	
37875	619	1	315151	3895	
19200	813	1	161561	21645	
1752	598	1	320894	3878	
9092	994	3	144976	450963	
35931	787	2	409125	163678	
35061	617	1	591279	975	
36153	745	1	1701750	5298	
11165	693	2	342021	5165	
1578	703	2	358889	3611	
45905	620	1	376329	14603	
21369	693	1	537568	2956	
44310	705	1	142283	15569	
42412	829	1	908046	171530	
35057	510	1	536211	247	
19050	976	2	328420	963677	
19839	889	2	270096	98262	
13331	1026	2	382364	31275	
1610	846	1	348055	35397	
19852	750	1	116350	36656	
1689	1010	1	1894270	664739	
20294	918	1	1067920	297071	
20061	924	1	591265	344381	
1751	801	1	1501530	13132	
6118	712	1	3763410	36863	
75	1089	3	336256	596104	
12763	656	2	2193660	1926	
28540	521	1	129516	670	
12329	635	1	370634	4342	
14480	691	1	2965700	1453	
46353	733	1	179309	11569	
1243	834	2	211673	27825	
7043	781	2	470854	63841	
43924	644	1	1265880	7485	
461	772	2	360922	4911	
1560	816	1	360685	3215	
7447	985	1	7694390	842979	
5020	522	1	807866	111	
9878	1005	4	155856	657604	
17302	599	1	225111	946	
20276	729	1	911828	83662	
14001	833	2	616191	18277	
20941	696	1	17221600	169008	
34474	711	1	10381000	145367	
11164	693	2	339574	27339	
19602	678	2	1949550	5059	
36128	755	1	261903	63998	
36962	687	1	9869380	12944	
38134	653	1	2073520	13916	
11015	697	1	119746	11135	
9319	704	1	1086010	2163	
1934	1024	3	876795	454146	
20476	719	1	679009	2586	
37407	535	1	150371	97	
14749	1192	1	4627840	834655	
12887	868	2	451810	28660	
6318	958	2	115439	287445	
39758	705	1	842211	25401	
39791	772	1	28336700	77541	
20176	975	1	137223	216116	
44943	644	1	284193	8611	
35339	639	1	2710080	19703	
35058	768	1	1622640	46842	
20990	956	2	35912700	608797	
12897	691	1	722031	3823	
43035	701	1	1826950	451	
10392	707	2	148459	31818	
10555	613	1	901164	2703	
13701	761	2	23891400	69628	
34193	713	1	738921	1121	
45505	603	1	552692	743	
20535	586	1	232028	2303	
7487	785	2	577136	36579	
11980	654	2	20362500	9946	
12711	813	3	501101	34739	
15898	1064	2	304237	226929	
4326	818	1	203756	20336	
34304	824	1	986127	74666	
11097	797	2	584531	8255	
37413	572	1	111841	1256	
47156	653	1	395097	4045	
36507	720	2	101041	1385	
41393	866	2	120355	197293	
12635	884	1	24152100	58312	
4204	650	2	1269480	16863	
4473	758	1	784246	66192	
15195	669	1	463918	2710	
26332	821	2	524406	2287	
19777	670	1	518243	370	
411	690	1	19580800	35997	
16249	883	3	185926	250079	
8669	902	2	528887	75639	
35952	683	2	147818	6391	
1731	609	1	364084	4185	
13321	1167	2	243373	246625	
34305	898	1	1683760	41694	
10738	807	2	336020	112571	
7178	736	1	417122	11255	
39145	604	1	2482110	4327	
3095	481	1	346144	34	
9104	817	1	153070	123193	
8624	779	1	681403	14781	
4920	847	2	418269	11350	
43923	651	1	1487660	6165	
36979	567	1	337175	3431	
5021	532	1	383317	649	
43860	893	2	1001930	76091	
14484	1015	2	3094310	132887	
38517	889	1	897798	507166	
20750	775	2	126667	15919	
11431	767	1	858095	107970	
12175	747	1	1325710	47549	
9508	621	1	1075180	2771	
2110	795	3	372245	72219	
9199	1197	3	704389	246320	
336	648	1	682989	347	
19327	912	3	332950	309801	
9980	808	1	621032	8370	
2006	910	2	284272	226552	
2414	716	1	376427	17528	
8323	894	2	2757370	174422	
46970	616	1	110213	4095	
34195	719	1	138981	18795	
34926	396	1	137382	18	
35751	747	2	357603	29698	
6869	834	3	887487	135065	
1688	746	1	3507470	79773	
11731	841	2	505427	179256	
2902	663	2	145232	12712	
37410	563	1	120907	88	
8350	864	3	2943880	324804	
11893	913	2	136140	98927	
46239	616	1	218237	6010	
39318	780	2	483497	28106	
38149	884	1	303944	198653	
4456	712	1	307510	16123	
42850	871	2	2315810	208281	
13088	771	1	1491720	39812	
11478	803	1	25112100	92295	
34571	760	1	133156	10553	
43674	531	1	560239	1518	
15051	898	2	153860	40318	
15234	679	1	108211	5986	
13598	658	1	2219720	7803	
35062	593	1	3314360	539	
38499	722	1	769841	819	
920	687	1	3384620	30132	
17427	713	1	41556300	59503	
662	1026	2	434804	312521	
37137	703	1	2038000	24994	
8514	755	2	145129	55699	
44104	834	2	412520	127989	
42932	825	2	1785480	198166	
575	710	1	144299	3432	
46967	647	1	127891	11016	
21327	722	2	524483	159535	
14547	830	2	571515	8551	
34927	816	2	134510	80065	
36353	535	1	149915	267	
687	973	2	414589	822270	
456	663	1	449660	5233	
14386	744	1	197285	18898	
6484	723	1	351213	29606	
34600	677	1	682885	2597	
44914	635	1	293882	55435	
44683	889	2	1089230	380246	
21567	755	2	171489	104668	
12179	705	2	1912090	43717	
19328	598	1	290673	471	
19403	967	1	956447	228948	
11098	762	2	416375	3292	
43497	971	2	183275	46265	
33929	805	1	444973	136845	
13124	620	1	232434	1201	
34233	855	1	2553800	107071	
39279	1135	2	130687	301460	
37033	628	1	214099	5629	
46477	792	1	254861	74591	
36768	1039	1	1541950	784357	
3080	777	2	1260880	78166	
43162	639	1	671190	2293	
33909	657	1	585992	1135	
35395	688	1	119390	9162	
38994	619	1	442722	600	
40388	890	1	124528	112797	
7203	853	1	440384	145355	
46229	635	1	244515	9638	
1757	616	1	2120170	1101	
39049	778	1	235149	14271	
12170	713	1	16999300	44351	
41307	969	3	502463	140350	
46968	628	1	190244	21273	
724	807	1	551752	27209	
19697	925	2	1803020	28958	
2064	776	2	128731	20025	
14983	807	1	2004610	43227	
12178	720	2	1452000	33055	
8465	783	1	798073	25919	
6283	756	2	143915	20225	
2717	679	1	215483	51492	
1536	897	3	158680	194498	
35340	585	1	4415550	1363	
2360	783	1	1150860	7489	
19782	760	1	156074	21503	
41566	1010	2	194618	607393	
7781	548	1	348866	85	
35465	615	1	721080	3950	
38763	875	3	678577	13593	
22243	594	1	20981400	2305	
18852	732	2	265446	69872	
12801	908	3	406394	70566	
3489	826	2	5179870	38308	
956	969	2	611986	329271	
38778	936	1	1161820	495028	
407	706	1	1819810	5666	
18487	970	1	409380	567210	
44601	605	1	9048060	11044	
11557	1102	2	529118	149964	
10827	959	1	263843	128475	
9237	614	1	152925	4518	
46228	634	1	134748	24845	
37386	713	1	1294640	14405	
562	732	1	2050210	9699	
20428	808	2	10222400	105451	
34155	728	1	142697	4877	
4365	891	2	1336750	211324	
34776	594	1	112723	245	
12653	673	3	102617	34315	
12788	963	3	350050	808199	
1063	962	2	172089	117172	
5813	1094	4	490863	264343	
20983	1005	1	384652	202466	
12660	820	1	528825	57681	
41202	861	1	157432	81125	
11327	571	1	546512	1502	
7410	621	1	418119	12865	
8706	669	1	215725	32790	
